Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,Hof,0.6842116655926008,1,0.0,0,-0.06854409554046022,0,0.8086652979455711,0,0.7373515486049528,1
Slovakia,Holic,1.5282711070322623,1,0.0,0,0.6207920255144278,0,-0.33520828402850383,0,1.4310648982591505,1
Spain,Igualada,-0.2897030745300855,0,0.0,0,0.1037899347232618,0,0.23672850695853362,0,-0.0630869317652754,0
Japan,Ikoma,-1.1986901653112594,0,0.0,0,-0.06854409554046022,0,0.8086652979455711,0,-1.1303382389255796,0
Madagascar,Ikongo,-1.5882560613603338,0,0.0,0,-0.9302142468590703,0,-0.9071450750155413,0,-1.1303382389255796,0
Brazil,Jatai,-1.5882560613603338,0,0.0,0,-2.3950535041007073,0,-0.9071450750155413,0,-1.1303382389255796,0
United States of America,Dania Beach,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.33520828402850383,0,-0.8635254121355035,0
United States of America,Drexel Hill,-0.2897030745300855,0,0.0,0,0.8792930709100109,0,0.23672850695853362,0,-0.0630869317652754,0
Croatia,Dubrovnik,1.0737775616416754,1,0.0,0,1.1377941163055938,0,-0.9071450750155413,0,1.0575269407530439,1
United Kingdom of Great Britain and Northern Ireland,Dunstable,-1.1337625159697469,0,0.0,0,-0.1547111106723212,0,-0.33520828402850383,0,-0.7568002814194731,0
United States of America,East Millcreek,-0.09492012650554822,0,0.0,0,0.5346250103825668,0,0.8086652979455711,0,0.09700076430877023,0
United States of America,East Norriton,-0.09492012650554822,0,0.0,0,1.3962951617011767,0,-0.33520828402850383,0,-0.2765371931973362,0
United States of America,East Palo Alto,0.03493517217747662,0,0.0,0,0.017622919591400794,0,0.8086652979455711,0,0.20372589502480065,0
United States of America,East Wenatchee Bench,-1.3934731133357967,0,0.0,0,-0.3270451409360432,0,-0.33520828402850383,0,-0.9702505428515339,0
Turkey,Elmadag,-0.3546307238715979,0,0.0,0,1.0516271011737328,0,-0.9071450750155413,0,-0.7568002814194731,0
Mexico,Taxco,3.021607041887048,1,0.0,0,0.2761239649869838,0,-0.33520828402850383,0,2.6584039014935,1
,Tonosho,0.8140669642756256,1,0.0,0,-0.24087812580418222,0,2.524475670906684,0,0.8440766793209832,1
Canada,Toronto,-0.7441966199206724,0,0.0,0,-0.5855461863316263,0,0.8086652979455711,0,-0.4366248892713818,0
Italy,Trani,0.48942871756806355,1,0.0,0,2.1717982978879258,1,-0.9071450750155413,0,0.15036332966678545,0
,Troon,-0.7441966199206724,0,0.0,0,0.4484579952507058,0,-0.9071450750155413,0,-0.4366248892713818,0
United States of America,Tupelo,0.878994613617138,1,0.0,0,0.8792930709100109,0,0.23672850695853362,0,0.8974392446789984,1
Poland,Turek,-0.48448602255462275,0,0.0,0,0.8792930709100109,0,-0.9071450750155413,0,-0.5967125853454275,0
Turkey,Unye,-1.003907217286722,0,0.0,0,0.1899569498551228,0,-0.9071450750155413,0,-0.7034377160614579,0
Republic of North Macedonia,Veles,1.4633434576907498,1,0.0,0,1.1377941163055938,0,-0.9071450750155413,0,1.3777023329011353,1
Germany,Soltau,-0.4195583732131103,0,0.0,0,0.9654600860418718,0,-0.9071450750155413,0,-1.0769756735675644,0
United States of America,South Hadley,-0.09492012650554822,0,0.0,0,0.8792930709100109,0,-0.33520828402850383,0,0.09700076430877023,0
Kazakhstan,Stepnogorsk,-1.458400762677309,0,0.0,0,-0.41321215606790423,0,-0.9071450750155413,0,-1.1837008042835948,0
United States of America,Streator,0.48942871756806355,1,0.0,0,0.7069590406462888,0,-0.33520828402850383,0,0.5772638525309071,1
Germany,Sulzbach,0.9439222629586504,1,0.0,0,1.9994642676242038,1,-0.9071450750155413,0,0.9508018100370136,1
Russian Federation,Sunzha,-0.6143413212376476,0,0.0,0,0.6207920255144278,0,-0.33520828402850383,0,-0.3298997585553514,0
,Svetlyy,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,-1.3437885003576404,0
Poland,Szydlowiec,-0.3546307238715979,0,0.0,0,1.0516271011737328,0,-0.9071450750155413,0,-0.3298997585553514,0
Russian Federation,Taganrog,-0.48448602255462275,0,0.0,0,0.8792930709100109,0,-0.33520828402850383,0,-1.5572387617897012,0
Venezuela (Bolivarian Republic of),Tariba,0.22971812020201388,1,0.0,0,-1.1025482771227924,0,-0.9071450750155413,0,0.36381359109884626,1
Germany,Taufkirchen,1.2036328603247002,1,0.0,0,2.774967403810953,1,-0.9071450750155413,0,1.1642520714690743,1
Mexico,Valle Hermoso,-0.9389795679452096,0,0.0,0,-0.1547111106723212,0,-0.9071450750155413,0,-0.5967125853454275,0
Switzerland,Vevey,0.2946457695435263,1,0.0,0,0.7931260557781498,0,-0.9071450750155413,0,0.41717615645686146,1
Côte d'Ivoire,Ndouci,-0.6143413212376476,0,0.0,0,-1.2748823073865143,0,-0.9071450750155413,0,-0.3298997585553514,0
Bangladesh,Netrakona,0.6842116655926008,1,0.0,0,0.8792930709100109,0,-0.9071450750155413,0,0.7373515486049528,1
Poland,Nowa Ruda,1.5931987563737746,1,0.0,0,0.6207920255144278,0,-0.33520828402850383,0,1.4844274636171657,1
Italy,Misterbianco,0.42450106822655115,1,0.0,0,1.1377941163055938,0,-0.33520828402850383,0,0.5239012871728919,1
Brazil,Monte Siao,-0.5494136718961351,0,0.0,0,-2.136552458705124,0,0.23672850695853362,0,-0.2765371931973362,0
Indonesia,Metro,0.878994613617138,1,0.0,0,0.6207920255144278,0,-0.9071450750155413,0,0.8974392446789984,1
Poland,Gliwice,0.7491393149341132,1,0.0,0,1.0516271011737328,0,-0.33520828402850383,0,0.790714113962968,1
Denmark,Grenaa,-0.15984777584706064,0,0.0,0,1.3101281465693158,0,-0.9071450750155413,0,-1.8240515885797772,0
Russian Federation,Gulkevichi,-0.09492012650554822,0,0.0,0,1.3962951617011767,0,-0.9071450750155413,0,-1.23706336964161,0
Russian Federation,Gvardeysk,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,-1.3437885003576404,0
United States of America,Hartselle,0.16479047086050144,1,0.0,0,1.7409632222286209,1,-0.33520828402850383,0,0.15036332966678545,0
Japan,Hashimoto,0.878994613617138,1,0.0,0,-0.41321215606790423,0,2.524475670906684,0,0.8974392446789984,1
Netherlands,Hengelo,-0.7441966199206724,0,0.0,0,0.5346250103825668,0,-0.9071450750155413,0,-0.7568002814194731,0
Netherlands,Hilvarenbeek,-0.3546307238715979,0,0.0,0,0.6207920255144278,0,-0.33520828402850383,0,-0.1164494971232906,0
Germany,Hosbach,0.7491393149341132,1,0.0,0,2.1717982978879258,1,-0.9071450750155413,0,0.790714113962968,1
Israel,Iksal,0.09986282151898904,1,0.0,0,1.2239611314374548,0,0.8086652979455711,0,0.25708846038281585,1
Italy,Ispica,0.16479047086050144,1,0.0,0,1.3101281465693158,0,-0.33520828402850383,0,0.31045102574083105,1
Brazil,Itauna,-0.7441966199206724,0,0.0,0,-0.6717132014634872,0,-0.9071450750155413,0,-0.4366248892713818,0
Ukraine,Izmayil,0.09986282151898904,1,0.0,0,0.9654600860418718,0,-0.9071450750155413,0,0.25708846038281585,1
Brazil,Jau,0.554356366909576,1,0.0,0,-0.4993791711997652,0,-0.9071450750155413,0,0.6306264178889223,1
France,Joinville Le Pont,1.3984158083492375,1,0.0,0,1.1377941163055938,0,-0.33520828402850383,0,1.32433976754312,1
Guatemala,Joyabaj,-0.22477542518857307,0,0.0,0,-0.6717132014634872,0,-0.9071450750155413,0,-0.009724366407260186,0
United States of America,Keene,-0.8740519186036972,0,0.0,0,0.3622909801188448,0,-0.9071450750155413,0,-0.7034377160614579,0
Turkey,Keskin,-0.2897030745300855,0,0.0,0,1.1377941163055938,0,-0.9071450750155413,0,-0.8101628467774883,0
Germany,Linnich,0.03493517217747662,0,0.0,0,-0.06854409554046022,0,0.8086652979455711,0,0.20372589502480065,0
,Loutrakion,0.8140669642756256,1,0.0,0,1.0516271011737328,0,-0.9071450750155413,0,0.8440766793209832,1
United Kingdom of Great Britain and Northern Ireland,Maidenhead,-1.458400762677309,0,0.0,0,-0.7578802165953482,0,1.952538879919646,0,-1.0236131082095492,0
Lithuania,Marijampole,-1.5233284120188215,0,0.0,0,-0.4993791711997652,0,-0.33520828402850383,0,-1.0769756735675644,0
Germany,Marktheidenfeld,0.8140669642756256,1,0.0,0,0.3622909801188448,0,0.8086652979455711,0,0.8440766793209832,1
Italy,Melfi,0.03493517217747662,0,0.0,0,0.9654600860418718,0,0.23672850695853362,0,0.20372589502480065,0
United States of America,Melvindale,-1.003907217286722,0,0.0,0,0.1037899347232618,0,1.952538879919646,0,-0.6500751507034427,0
Switzerland,Langenthal,0.16479047086050144,1,0.0,0,-0.9302142468590703,0,0.8086652979455711,0,0.31045102574083105,1
Italy,Lavello,0.16479047086050144,1,0.0,0,1.0516271011737328,0,0.23672850695853362,0,0.31045102574083105,1
Spain,Lena,-0.8091242692621848,0,0.0,0,0.4484579952507058,0,0.23672850695853362,0,-1.23706336964161,0
United States of America,Liberty,0.3595734188850387,1,0.0,0,0.1037899347232618,0,1.952538879919646,0,0.47053872181487666,1
Poland,Kolobrzeg,-0.9389795679452096,0,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,-0.6500751507034427,0
India,Kondagaon,1.7230540550567994,1,0.0,0,-0.24087812580418222,0,-0.9071450750155413,0,1.5911525943331961,1
Serbia,Kragujevac,0.48942871756806355,1,0.0,0,0.5346250103825668,0,-0.9071450750155413,0,0.5772638525309071,1
Germany,Kreuzau,0.3595734188850387,1,0.0,0,-0.06854409554046022,0,0.8086652979455711,0,0.47053872181487666,1
Czechia,Krupka,1.5931987563737746,1,0.0,0,0.4484579952507058,0,0.23672850695853362,0,1.4844274636171657,1
